,year,rank,title,artist
3667,1990,34,Dangerous,Roxette
3668,1990,35,We Didn't Start the Fire,Billy Joel
3669,1990,36,I Don't Have the Heart,James Ingram
3670,1990,37,Downtown Train,Rod Stewart
3671,1990,38,Rhythm Nation,Janet Jackson
3672,1990,39,I'll Be Your Everything,Tommy Page
3673,1990,40,Roam,The B-52's
3674,1990,41,Everything,Jody Watley
3675,1990,42,Back to Life (However Do You Want Me),Soul II Soul
3676,1990,43,Here and Now,Luther Vandross
3677,1990,44,Alright,Janet Jackson
3678,1990,45,Ice Ice Baby,Vanilla Ice
3679,1990,46,Blame It on the Rain,Milli Vanilli
3680,1990,47,Have You Seen Her,MC Hammer
3681,1990,48,With Every Beat of My Heart,Taylor Dayne
3682,1990,49,Come Back to Me,Janet Jackson
3683,1990,50,No More Lies,Michel'le
3684,1990,51,Praying for Time,George Michael
3685,1990,52,How Can We Be Lovers,Michael Bolton
3686,1990,53,Do You Remember?,Phil Collins
3687,1990,54,Ready or Not,After 7
3688,1990,55,U Can't Touch This,MC Hammer
3689,1990,56,I Wish It Would Rain Down,Phil Collins
3690,1990,57,Just Between You and Me,Lou Gramm
3691,1990,58,Something Happened on the Way to Heaven,Phil Collins
3692,1990,59,Black Cat,Janet Jackson
3693,1990,60,Can't Stop,After 7
3694,1990,61,Janie's Got a Gun,Aerosmith
3695,1990,62,The Humpty Dance,Digital Underground
3696,1990,63,I'll Be Your Shelter,Taylor Dayne
3697,1990,64,Free Fallin',Tom Petty
3698,1990,65,Giving You the Benefit,Pebbles
3699,1990,66,Enjoy the Silence,Depeche Mode
3700,1990,67,Love Song,Tesla
3701,1990,68,Price of Love,Bad English
3702,1990,69,Girls Nite Out,Tyler Collins
3703,1990,70,King of Wishful Thinking,Go West
3704,1990,71,What Kind of Man Would I Be?,Chicago
3705,1990,72,I Remember You,Skid Row
3706,1990,73,Get Up! (Before the Night Is Over),Technotronic
3707,1990,74,Here We Are,Gloria Estefan
3708,1990,75,Epic,Faith No More
3709,1990,76,Love Takes Time,Mariah Carey
3710,1990,77,Just Like Jesse James,Cher
3711,1990,78,Love Shack,The B-52's
3712,1990,79,All or Nothing,Milli Vanilli
3713,1990,80,Romeo,Dino
3714,1990,81,Everybody Everybody,Black Box
3715,1990,82,I Go to Extremes,Billy Joel
3716,1990,83,Whip Appeal,Babyface
3717,1990,84,Oh Girl,Paul Young
3718,1990,85,C'mon and Get My Love,D Mob
3719,1990,86,(It's Just) The Way That You Love Me,Paula Abdul
3720,1990,87,"""We Can't Go Wrong""",The Cover Girls
3721,1990,88,When I'm Back on My Feet Again,Michael Bolton
3722,1990,89,Make You Sweat,Keith Sweat
3723,1990,90,This One's for the Children,New Kids on the Block
3724,1990,91,What It Takes,Aerosmith
3725,1990,92,Forever,Kiss
3726,1990,93,Jerk Out,The Time
3727,1990,94,Just a Friend,Biz Markie
3728,1990,95,"""Whole Wide World""",A'Me Lorain
3729,1990,96,Without You,Mötley Crüe
3730,1990,97,Swing the Mood,Jive Bunny and the Mastermixers
3731,1990,98,Thieves in the Temple,Prince
3732,1990,99,Mentirosa,Mellow Man Ace
3733,1990,100,"""Tic-Tac-Toe""",Kyper
3734,1991,,,
3735,1991,1,(Everything I Do) I Do It for You,Bryan Adams
3736,1991,2,I Wanna Sex You Up,Color Me Badd
3737,1991,3,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory
3738,1991,4,Rush Rush,Paula Abdul
3739,1991,5,One More Try,Timmy T
3740,1991,6,Unbelievable,EMF
3741,1991,7,More Than Words,Extreme
3742,1991,8,I Like the Way (The Kissing Game),Hi-Five
3743,1991,9,The First Time,Surface
3744,1991,10,Baby Baby,Amy Grant
3745,1991,11,Motownphilly,Boyz II Men
3746,1991,12,Because I Love You (The Postman Song),Stevie B
3747,1991,13,Someday,Mariah Carey
3748,1991,14,High Enough,Damn Yankees
3749,1991,15,From a Distance,Bette Midler
3750,1991,16,All the Man That I Need,Whitney Houston
3751,1991,17,"Right Here, Right Now",Jesus Jones
3752,1991,18,I Adore Mi Amor,Color Me Badd
3753,1991,19,Love Will Never Do (Without You),Janet Jackson
3754,1991,20,Good Vibrations,Marky Mark and the Funky Bunch
3755,1991,21,Justify My Love,Madonna
3756,1991,22,Emotions,Mariah Carey
3757,1991,23,Joyride,Roxette
3758,1991,24,Romantic,Karyn White
3759,1991,25,Hold You Tight,Tara Kemp
3760,1991,26,I Don't Wanna Cry,Mariah Carey
3761,1991,27,You're in Love,Wilson Phillips
3762,1991,28,Every Heartbeat,Amy Grant
3763,1991,29,Sensitivity,Ralph Tresvant
3764,1991,30,Touch Me (All Night Long),Cathy Dennis
3765,1991,31,I've Been Thinking About You,Londonbeat
3766,1991,32,Do Anything,Natural Selection
3767,1991,33,Losing My Religion,R.E.M.
3768,1991,34,Coming Out of the Dark,Gloria Estefan
3769,1991,35,It Ain't Over 'til It's Over,Lenny Kravitz
3770,1991,36,Here We Go,C+C Music Factory
3771,1991,37,Where Does My Heart Beat Now,Celine Dion
3772,1991,38,Summertime,DJ Jazzy Jeff & The Fresh Prince
3773,1991,39,Wind of Change,Scorpions
3774,1991,40,P.A.S.S.I.O.N.,Rythm Syndicate
3775,1991,41,The Promise of a New Day,Paula Abdul
3776,1991,42,I'm Your Baby Tonight,Whitney Houston
3777,1991,43,Love of a Lifetime,FireHouse
3778,1991,44,Fading Like a Flower (Every Time You Leave),Roxette
3779,1991,45,This House,Tracie Spencer
3780,1991,46,Hole Hearted,Extreme
3781,1991,47,Power of Love/Love Power,Luther Vandross
3782,1991,48,Impulsive,Wilson Phillips
3783,1991,49,Love Is a Wonderful Thing,Michael Bolton
3784,1991,50,Rhythm of My Heart,Rod Stewart
3785,1991,51,Things That Make You Go Hmmm...,C+C Music Factory
3786,1991,52,I Touch Myself,Divinyls
3787,1991,53,Tom's Diner,DNA
3788,1991,54,Iesha,Another Bad Creation
3789,1991,55,Something to Talk About,Bonnie Raitt
3790,1991,56,After the Rain,Nelson
3791,1991,57,Play That Funky Music,Vanilla Ice
3792,1991,58,Temptation,Corina
3793,1991,59,Can't Stop This Thing We Started,Bryan Adams
3794,1991,60,I Can't Wait Another Minute,Hi-Five
3795,1991,61,3 a.m. Eternal,The KLF
3796,1991,62,"Time, Love and Tenderness",Michael Bolton
3797,1991,63,Sadeness (Part I),Enigma
3798,1991,64,Around the Way Girl,LL Cool J
3799,1991,65,I'll Be There,The Escape Club
3800,1991,66,Cream,Prince
3801,1991,67,Now That We Found Love,Heavy D & the Boyz
3802,1991,68,Show Me the Way,Styx
3803,1991,69,Love Takes Time,Mariah Carey
3804,1991,70,Cry for Help,Rick Astley
3805,1991,71,The Way You Do the Things You Do,UB40
3806,1991,72,Here I Am (Come and Take Me),
3807,1991,73,Signs,Tesla
3808,1991,74,Too Many Walls,Cathy Dennis
3809,1991,75,Crazy,Seal
3810,1991,76,I'll Give All My Love to You,Keith Sweat
3811,1991,77,Place in this World,Michael W. Smith
3812,1991,78,Something to Believe In,Poison
3813,1991,79,Wicked Game,Chris Isaak
3814,1991,80,Get Here,Oleta Adams
3815,1991,81,Round and Round,Tevin Campbell
3816,1991,82,Silent Lucidity,Queensrÿche
3817,1991,83,I'm Not in Love,Will to Power
3818,1991,84,Piece of My Heart,Tara Kemp
3819,1991,85,Real Real Real,Jesus Jones
3820,1991,86,Everybody Plays the Fool,Aaron Neville
3821,1991,87,Just Another Dream,Cathy Dennis
3822,1991,88,Strike It Up,Black Box
3823,1991,89,Rico Suave,Gerardo
3824,1991,90,Disappear,INXS
3825,1991,91,Groove Is in the Heart,Deee-Lite
3826,1991,92,All This Time,Sting
3827,1991,93,The One and Only,Chesney Hawkes
3828,1991,94,O.P.P.,Naughty by Nature
3829,1991,95,Freedom! '90,George Michael
3830,1991,96,I Saw Red,Warrant
3831,1991,97,Miles Away,Winger
3832,1991,98,Do You Want Me,Salt-n-Pepa
3833,1991,99,The Motown Song,Rod Stewart
3834,1991,100,Shiny Happy People,R.E.M.
3835,1992,,,
3836,1992,1,End of the Road,Boyz II Men
3837,1992,2,Baby Got Back,Sir Mix-a-Lot
3838,1992,3,Jump,Kris Kross
3839,1992,4,Save the Best for Last,Vanessa Williams
3840,1992,5,Baby-Baby-Baby,TLC
3841,1992,6,Tears in Heaven,Eric Clapton
3842,1992,7,My Lovin' (You're Never Gonna Get It),En Vogue
3843,1992,8,Under the Bridge,Red Hot Chili Peppers
3844,1992,9,All 4 Love,Color Me Badd
3845,1992,10,Just Another Day,Jon Secada
3846,1992,11,I Love Your Smile,Shanice
3847,1992,12,To Be with You,Mr. Big
3848,1992,13,I'm Too Sexy,Right Said Fred
3849,1992,14,Black or White,Michael Jackson
3850,1992,15,Achy Breaky Heart,Billy Ray Cyrus
3851,1992,16,I'll Be There,Mariah Carey
3852,1992,17,November Rain,Guns N' Roses
3853,1992,18,Life Is a Highway,Tom Cochrane
3854,1992,19,Remember the Time,Michael Jackson
3855,1992,20,Finally,CeCe Peniston
3856,1992,21,This Used to Be My Playground,Madonna
3857,1992,22,Sometimes Love Just Ain't Enough,Patty Smyth
3858,1992,23,Can't Let Go,Mariah Carey
3859,1992,24,Jump Around,House of Pain
3860,1992,25,Diamonds and Pearls,Prince
3861,1992,26,Don't Let the Sun Go Down on Me,George Michael
3862,1992,27,Masterpiece,Atlantic Starr
3863,1992,28,If You Asked Me To,Celine Dion
3864,1992,29,Giving Him Something He Can Feel,En Vogue
3865,1992,30,Live and Learn,Joe Public
3866,1992,31,Come and Talk to Me,Jodeci
3867,1992,32,Smells Like Teen Spirit,Nirvana
3868,1992,33,Humpin' Around,Bobby Brown
3869,1992,34,Damn I Wish I Was Your Lover,Sophie B. Hawkins
3870,1992,35,Tell Me What You Want Me to Do,Tevin Campbell
3871,1992,36,Ain't 2 Proud 2 Beg,TLC
3872,1992,37,It's So Hard to Say Goodbye to Yesterday,Boyz II Men
3873,1992,38,Move This,Technotronic
3874,1992,39,Bohemian Rhapsody,Queen
3875,1992,40,Tennessee,Arrested Development
3876,1992,41,The Best Things in Life Are Free,Luther Vandross
3877,1992,42,Make It Happen,Mariah Carey
3878,1992,43,The One,Elton John
3879,1992,44,Set Adrift on Memory Bliss,P.M. Dawn
3880,1992,45,Stay,Shakespears Sister
3881,1992,46,2 Legit 2 Quit,Hammer
3882,1992,47,Please Don't Go,KWS
3883,1992,48,Breakin' My Heart (Pretty Brown Eyes),Mint Condition
3884,1992,49,Wishing on a Star,The Cover Girls
3885,1992,50,She's Playing Hard to Get,Hi-Five
3886,1992,51,I'd Die Without You,P.M. Dawn
3887,1992,52,Good for Me,Amy Grant
3888,1992,53,All I Want,Toad the Wet Sprocket
3889,1992,54,When a Man Loves a Woman,Michael Bolton
3890,1992,55,I Can't Dance,Genesis
3891,1992,56,Hazard,Richard Marx
3892,1992,57,Mysterious Ways,U2
3893,1992,58,Too Funky,George Michael
3894,1992,59,How Do You Talk to an Angel,The Heights
3895,1992,60,One,U2
3896,1992,61,Keep on Walkin',CeCe Peniston
3897,1992,62,Hold on My Heart,Genesis
3898,1992,63,The Way I Feel About You,Karyn White
3899,1992,64,Beauty and the Beast,Celine Dion
3900,1992,65,Warm It Up,Kris Kross
3901,1992,66,In the Closet,Michael Jackson
3902,1992,67,People Everyday,Arrested Development
3903,1992,68,No Son of Mine,Genesis
3904,1992,69,Wildside,Marky Mark and the Funky Bunch
3905,1992,70,Do I Have to Say the Words?,Bryan Adams
3906,1992,71,Friday I'm in Love,The Cure
3907,1992,72,Everything About You,Ugly Kid Joe
3908,1992,73,Blowing Kisses in the Wind,Paula Abdul
3909,1992,74,Thought I'd Died and Gone to Heaven,Bryan Adams
3910,1992,75,Rhythm Is a Dancer,Snap!
3911,1992,76,Addams Groove,Hammer
3912,1992,77,Missing You Now,Michael Bolton
3913,1992,78,"""Back to the Hotel""",N2Deep
3914,1992,79,"""Everything Changes""",Kathy Troccoli
3915,1992,80,Have You Ever Needed Someone So Bad,Def Leppard
3916,1992,81,Take This Heart,Richard Marx
3917,1992,82,When I Look Into Your Eyes,FireHouse
3918,1992,83,I Wanna Love You,Jade
3919,1992,84,Uhh Ahh,Boyz II Men
3920,1992,85,Real Love,Mary J. Blige
3921,1992,86,Justified and Ancient,The KLF
3922,1992,87,Slow Motion,Color Me Badd
3923,1992,88,What About Your Friends,TLC
3924,1992,89,Thinkin' Back,Color Me Badd
3925,1992,90,Would I Lie to You?,Charles & Eddie
3926,1992,91,That's What Love Is For,Amy Grant
3927,1992,92,Keep Coming Back,Richard Marx
3928,1992,93,Free Your Mind,En Vogue
3929,1992,94,Keep It Comin',Keith Sweat
3930,1992,95,Just Take My Heart,Mr. Big
3931,1992,96,I Will Remember You,Amy Grant
3932,1992,97,We Got a Love Thang,CeCe Peniston
3933,1992,98,Let's Get Rocked,Def Leppard
3934,1992,99,They Want EFX,Das EFX
3935,1992,100,I Can't Make You Love Me,Bonnie Raitt
3936,1993,,,
3937,1993,1,I Will Always Love You,Whitney Houston
3938,1993,2,Whoomp! (There It Is),Tag Team
3939,1993,3,Can't Help Falling in Love,UB40
3940,1993,4,That's the Way Love Goes,Janet Jackson
3941,1993,5,Freak Me,Silk
3942,1993,6,Weak,SWV
3943,1993,7,If I Ever Fall in Love,Shai
3944,1993,8,Dreamlover,Mariah Carey
3945,1993,9,Rump Shaker,Wreckx-n-Effect
3946,1993,10,Informer,Snow
3947,1993,11,Nuthin' but a 'G' Thang,Dr. Dre
3948,1993,12,In the Still of the Nite,Boyz II Men
3949,1993,13,Don't Walk Away,Jade
3950,1993,14,Knockin' da Boots,H-Town
3951,1993,15,Lately,Jodeci
3952,1993,16,Dazzey Duks,Duice
3953,1993,17,Show Me Love,Robin S.
3954,1993,18,A Whole New World,Peabo Bryson
3955,1993,19,If,Janet Jackson
3956,1993,20,I'm So Into You,SWV
3957,1993,21,Love Is,Vanessa Williams
3958,1993,22,Runaway Train,Soul Asylum
3959,1993,23,I'll Never Get Over You (Getting Over Me),Exposé
3960,1993,24,Ditty,Paperboy
3961,1993,25,Rhythm Is a Dancer,Snap!
3962,1993,26,The River of Dreams,Billy Joel
3963,1993,27,I'm Gonna Be (500 Miles),The Proclaimers
3964,1993,28,Two Princes,Spin Doctors
3965,1993,29,Right Here (Human Nature),SWV
3966,1993,30,I Have Nothing,Whitney Houston
3967,1993,31,Mr. Wendal,Arrested Development
3968,1993,32,Have I Told You Lately,Rod Stewart
3969,1993,33,Saving Forever for You,Shanice
3970,1993,34,Ordinary World,Duran Duran
3971,1993,35,If I Had No Loot,Tony! Toni! Toné!
3972,1993,36,I'd Do Anything for Love (But I Won't Do That),Meat Loaf
3973,1993,37,Slam,Onyx
3974,1993,38,Looking Through Patient Eyes,P.M. Dawn
3975,1993,39,I'm Every Woman,Whitney Houston
3976,1993,40,"""Baby I'm Yours""",Shai
3977,1993,41,Come Undone,Duran Duran
3978,1993,42,I Don't Wanna Fight,Tina Turner
3979,1993,43,I'd Die Without You,P.M. Dawn
3980,1993,44,"Whoot, There It Is",95 South
3981,1993,45,Hip Hop Hooray,Naughty by Nature
3982,1993,46,Another Sad Love Song,Toni Braxton
3983,1993,47,Will You Be There,Michael Jackson
3984,1993,48,Comforter,Shai
3985,1993,49,"""Good Enough""",Bobby Brown
3986,1993,50,What's Up?,4 Non Blondes
3987,1993,51,All That She Wants,Ace of Base
3988,1993,52,7,Prince
3989,1993,53,Dre Day,Dr. Dre
3990,1993,54,One Last Cry,Brian McKnight
3991,1993,55,Just Kickin' It,Xscape
3992,1993,56,I Get Around,2Pac
3993,1993,57,Bed of Roses,Bon Jovi
3994,1993,58,Real Love,Mary J. Blige
3995,1993,59,"""Here We Go Again!""",Portrait
3996,1993,60,Cryin',Aerosmith
3997,1993,61,Cat's in the Cradle,Ugly Kid Joe
3998,1993,62,What About Your Friends,TLC
3999,1993,63,I Got a Man,Positive K
4000,1993,64,Hey Mr. D.J.,Zhané
4001,1993,65,Insane in the Brain,Cypress Hill
4002,1993,66,Deeper and Deeper,Madonna
4003,1993,67,Rain,
4004,1993,68,The Right Kind of Love,Jeremy Jordan
4005,1993,69,Bad Boys,Inner Circle
4006,1993,70,That's What Love Can Do,Boy Krazy
4007,1993,71,Do You Believe in Us,Jon Secada
4008,1993,72,Angel,
4009,1993,73,Forever in Love,Kenny G
4010,1993,74,Again,Janet Jackson
4011,1993,75,Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince
4012,1993,76,When She Cries,Restless Heart
4013,1993,77,Sweat (A La La La La Long),Inner Circle
4014,1993,78,It Was a Good Day,Ice Cube
4015,1993,79,More and More,Captain Hollywood Project
4016,1993,80,How Do You Talk to an Angel,The Heights
4017,1993,81,Rebirth of Slick (Cool Like Dat),Digable Planets
4018,1993,82,What Is Love,Haddaway
4019,1993,83,To Love Somebody,Michael Bolton
4020,1993,84,"Give It Up, Turn It Loose",En Vogue
4021,1993,85,Alright,Kris Kross
4022,1993,86,Check Yo Self,Ice Cube
4023,1993,87,Fields of Gold,Sting
4024,1993,88,Ooh Child,Dino
4025,1993,89,Faithful,Go West
4026,1993,90,Reason to Believe,Rod Stewart
4027,1993,91,Break It Down Again,Tears for Fears
4028,1993,92,Nothin' My Love Can't Fix,Joey Lawrence
4029,1993,93,Three Little Pigs,Green Jellÿ
4030,1993,94,Livin' on the Edge,Aerosmith
4031,1993,95,Hey Jealousy,Gin Blossoms
4032,1993,96,If I Ever Lose My Faith in You,Sting
4033,1993,97,Anniversary,Tony! Toni! Toné!
4034,1993,98,One Woman,Jade
4035,1993,99,Can't Get Enough of Your Love,Taylor Dayne
4036,1993,100,Two Steps Behind,Def Leppard
4037,1994,,,
4038,1994,1,The Sign,Ace of Base
4039,1994,2,I Swear,All-4-One
4040,1994,3,I'll Make Love to You,Boyz II Men
4041,1994,4,The Power of Love,Celine Dion
4042,1994,5,Hero,Mariah Carey
4043,1994,6,Stay (I Missed You),Lisa Loeb and Nine Stories
4044,1994,7,Breathe Again,Toni Braxton
4045,1994,8,All for Love,Bryan Adams
4046,1994,9,All That She Wants,"Ace of Base
"
4047,1994,10,Don't Turn Around,
4048,1994,11,Bump n' Grind,R. Kelly
4049,1994,12,Again,Janet Jackson
4050,1994,13,I'll Remember,Madonna
4051,1994,14,Whatta Man,Salt-n-Pepa
4052,1994,15,Wild Night,John Mellencamp
4053,1994,16,Without You/Never Forget You,"Mariah Carey
"
4054,1994,17,You Mean the World to Me,"Toni Braxton
"
4055,1994,18,Can You Feel the Love Tonight,Elton John
4056,1994,19,The Most Beautiful Girl in the World,Prince
4057,1994,20,Fantastic Voyage,Coolio
4058,1994,21,"Baby, I Love Your Way",Big Mountain
4059,1994,22,Regulate,Warren G
4060,1994,23,If You Go,Jon Secada
4061,1994,24,Back & Forth,Aaliyah
4062,1994,25,Now and Forever,Richard Marx
4063,1994,26,When Can I See You,Babyface
4064,1994,27,Please Forgive Me,"Bryan Adams
"
4065,1994,28,So Much in Love,All-4-One
4066,1994,29,Shoop,Salt-n-Pepa
4067,1994,30,"Any Time, Any Place","Janet Jackson
"
4068,1994,31,Shine,Collective Soul
4069,1994,32,Said I Loved You...But I Lied,Michael Bolton
4070,1994,33,Return to Innocence,Enigma
4071,1994,34,All I Wanna Do,Sheryl Crow
4072,1994,35,Mmm Mmm Mmm Mmm,Crash Test Dummies
4073,1994,36,Can We Talk,Tevin Campbell
4074,1994,37,Funkdafied,Da Brat
4075,1994,38,I'd Do Anything for Love (But I Won't Do That),Meat Loaf
4076,1994,39,Gangsta Lean,DRS
4077,1994,40,Because the Night,"10,000 Maniacs"
4078,1994,41,Cantaloop (Flip Fantasia),Us3
4079,1994,42,Whoomp! (There It Is),Tag Team
4080,1994,43,Come to My Window,Melissa Etheridge
4081,1994,44,Stroke You Up,Changing Faces
4082,1994,45,I'm Ready,"Tevin Campbell
"
4083,1994,46,100% Pure Love,Crystal Waters
4084,1994,47,Anytime You Need a Friend,"Mariah Carey
"
4085,1994,48,Because of Love,"Janet Jackson
"
4086,1994,49,Linger,The Cranberries
4087,1994,50,Loser,Beck
4088,1994,51,Found Out About You,Gin Blossoms
4089,1994,52,Gin and Juice,Snoop Doggy Dogg
4090,1994,53,Never Lie,Immature
4091,1994,54,Streets of Philadelphia,Bruce Springsteen
4092,1994,55,Getto Jam,Domino
4093,1994,56,Endless Love,Luther Vandross
4094,1994,57,I Miss You,Aaron Hall
4095,1994,58,Understanding,Xscape
4096,1994,59,This D.J.,Warren G
4097,1994,60,Cry for You,Jodeci
4098,1994,61,Keep Ya Head Up,2Pac
4099,1994,62,What's My Name?,"Snoop Doggy Dogg
"
4100,1994,63,Another Night,Real McCoy
4101,1994,64,Your Body's Callin',"R. Kelly
"
4102,1994,65,Tootsee Roll,69 Boyz
4103,1994,66,I Can See Clearly Now (from Cool Runnings),Jimmy Cliff
4104,1994,67,Never Keeping Secrets,"Babyface
"
4105,1994,68,Crazy,Aerosmith
4106,1994,69,Just Kickin' It,Xscape
4107,1994,70,(At Your Best) You Are Love,"Aaliyah
"
4108,1994,71,Rock and Roll Dreams Come Through,Meat Loaf
4109,1994,72,Amazing,Aerosmith
4110,1994,73,Always,Erasure
4111,1994,74,Groove Thang,Zhané
4112,1994,75,Dreams,Gabrielle
4113,1994,76,Mr. Vain,Culture Beat
4114,1994,77,Mary Jane's Last Dance,Tom Petty and the Heartbreakers
4115,1994,78,Anything,SWV
4116,1994,79,Beautiful in My Eyes,Joshua Kadison
4117,1994,80,Stay,Eternal
4118,1994,81,Flava in Ya Ear,Craig Mack
4119,1994,82,U.N.I.T.Y.,Queen Latifah
4120,1994,83,Prayer for the Dying,Seal
4121,1994,84,Secret,"Madonna
"
4122,1994,85,Here Comes the Hotstepper,Ini Kamoze
4123,1994,86,Everyday,Phil Collins
4124,1994,87,Don't Take the Girl,Tim McGraw
4125,1994,88,"""Got Me Waiting""",Heavy D & the Boyz
4126,1994,89,"December, 1963 (Oh, What a Night)",The Four Seasons
4127,1994,90,Indian Outlaw,"Tim McGraw
"
4128,1994,91,Always,Bon Jovi
4129,1994,92,I'm the Only One,Melissa Etheridge
4130,1994,93,Back in the Day,Ahmad
4131,1994,94,Love Sneakin' Up On You,Bonnie Raitt
4132,1994,95,I'll Take You There (from Threesome),General Public
4133,1994,96,Always in My Heart,"Tevin Campbell
"
4134,1994,97,What Is Love,Haddaway
4135,1994,98,And Our Feelings,"Babyface
"
4136,1994,99,Bop Gun (One Nation),Ice Cube
4137,1994,100,I Wanna Be Down,Brandy
4138,1995,,,
4139,1995,1,Gangsta's Paradise,Coolio
4140,1995,2,Waterfalls,TLC
4141,1995,3,Creep,
4142,1995,4,Kiss from a Rose,Seal
4143,1995,5,On Bended Knee,Boyz II Men
4144,1995,6,Another Night,Real McCoy
4145,1995,7,Fantasy,Mariah Carey
4146,1995,8,Take a Bow,Madonna
4147,1995,9,Don't Take It Personal (Just One of Dem Days),Monica
4148,1995,10,This Is How We Do It,Montell Jordan
4149,1995,11,I Know,Dionne Farris
4150,1995,12,Water Runs Dry,"Boyz II Men
"
4151,1995,13,Freak Like Me,Adina Howard
4152,1995,14,Run-Around,Blues Traveler
4153,1995,15,I Can Love You Like That,All-4-One
4154,1995,16,Have You Ever Really Loved a Woman?,Bryan Adams
4155,1995,17,Always,Bon Jovi
4156,1995,18,Boombastic,Shaggy
4157,1995,19,Total Eclipse of the Heart,Nicki French
4158,1995,20,You Gotta Be,Des'ree
4159,1995,21,You Are Not Alone,Michael Jackson
4160,1995,22,Hold My Hand,Hootie & the Blowfish
4161,1995,23,One More Chance/Stay with Me,The Notorious B.I.G.
4162,1995,24,Here Comes the Hotstepper,Ini Kamoze
4163,1995,25,Candy Rain,Soul for Real
4164,1995,26,Let Her Cry,"Hootie & the Blowfish
"
4165,1995,27,I Believe,Blessid Union of Souls
4166,1995,28,Red Light Special,"TLC
"
4167,1995,29,Runaway,Janet Jackson
4168,1995,30,Strong Enough,Sheryl Crow
4169,1995,31,Colors of the Wind,Vanessa Williams
4170,1995,32,Someone to Love,Jon B.
4171,1995,33,Only Wanna Be with You,"Hootie & the Blowfish
"
4172,1995,34,If You Love Me,Brownstone
4173,1995,35,In the House of Stone and Light,Martin Page
4174,1995,36,I Got 5 on It,Luniz
4175,1995,37,Baby,Brandy
4176,1995,38,Run Away,"Real McCoy
"
4177,1995,39,As I Lay Me Down,Sophie B. Hawkins
4178,1995,40,He's Mine,MoKenStef
4179,1995,41,December,Collective Soul
4180,1995,42,I'll Be There for You/You're All I Need to Get By,Method Man
4181,1995,43,Shy Guy,Diana King
4182,1995,44,I'm the Only One,Melissa Etheridge
4183,1995,45,Every Little Thing I Do,Soul for Real
4184,1995,46,Before I Let You Go,Blackstreet
4185,1995,47,Big Poppa,"The Notorious B.I.G.
"
4186,1995,48,Sukiyaki,4 P.M.
4187,1995,49,I Wanna Be Down,"Brandy
"
4188,1995,50,I'll Make Love to You,"Boyz II Men
"
4189,1995,51,Dear Mama,2Pac
4190,1995,52,"""Hold On""",Jamie Walters
4191,1995,53,Keep Their Heads Ringin',Dr. Dre
4192,1995,54,The Rhythm of the Night,Corona
4193,1995,55,Roll to Me,Del Amitri
4194,1995,56,Scream,"Michael Jackson and Janet Jackson
"
4195,1995,57,Freek'n You,Jodeci
4196,1995,58,I Wish,Skee-Lo
4197,1995,59,Believe,Elton John
4198,1995,60,Carnival,Natalie Merchant
4199,1995,61,You Don't Know How It Feels,Tom Petty
4200,1995,62,Back for Good,Take That
4201,1995,63,Tootsee Roll,69 Boyz
4202,1995,64,You Want This,"Janet Jackson
"
4203,1995,65,Tell Me,Groove Theory
4204,1995,66,Can't You See,Total
4205,1995,67,All I Wanna Do,Sheryl Crow
4206,1995,68,This Lil' Game We Play,Subway
4207,1995,69,Come and Get Your Love,"Real McCoy
"
4208,1995,70,This Ain't a Love Song,Bon Jovi
4209,1995,71,Secret,"Madonna
"
4210,1995,72,Player's Anthem,Junior M.A.F.I.A.
4211,1995,73,Feel Me Flow,Naughty by Nature
4212,1995,74,Every Day of the Week,Jade
4213,1995,75,The Sweetest Days,Vanessa Williams
4214,1995,76,Short Dick Man,20 Fingers
4215,1995,77,Brokenhearted,"Brandy
"
4216,1995,78,No More I Love You's,Annie Lennox
4217,1995,79,You Used to Love Me,Faith Evans
4218,1995,80,Constantly,Immature
4219,1995,81,"Hold Me, Thrill Me, Kiss Me, Kill Me",U2
4220,1995,82,100% Pure Love,Crystal Waters
4221,1995,83,Ask of You,Raphael Saadiq
4222,1995,84,"""Sugar Hill""",AZ
4223,1995,85,Good,Better Than Ezra
4224,1995,86,Brown Sugar,D'Angelo
4225,1995,87,Turn the Beat Around,Gloria Estefan
4226,1995,88,'Til You Do Me Right,After 7
4227,1995,89,1st of tha Month,Bone Thugs-n-Harmony
4228,1995,90,Like the Way I Do,"Melissa Etheridge
"
4229,1995,91,I Live My Life for You,FireHouse
4230,1995,92,"""Dream About You"" / ""Funky Melody""",Stevie B
4231,1995,93,Cotton Eye Joe,Rednex
4232,1995,94,Thank You,"Boyz II Men
"
4233,1995,95,I'll Stand by You,The Pretenders
4234,1995,96,I Miss You,N II U
4235,1995,97,Give It 2 You,Da Brat
4236,1995,98,Best Friend,"Brandy
"
4237,1995,99,Misery,Soul Asylum
4238,1995,100,Can't Stop Lovin' You,Van Halen
4239,1996,,,
4240,1996,1,Macarena,Los del Río
4241,1996,2,One Sweet Day,Mariah Carey
4242,1996,3,Because You Loved Me,Celine Dion
4243,1996,4,Nobody Knows,The Tony Rich Project
4244,1996,5,Always Be My Baby,Mariah Carey
4245,1996,6,Give Me One Reason,Tracy Chapman
4246,1996,7,Tha Crossroads,Bone Thugs-n-Harmony
4247,1996,8,I Love You Always Forever,Donna Lewis
4248,1996,9,You're Makin' Me High,Toni Braxton
